THRESH TP FP TN FN ESPECIFICIDADE SENSITIVIDADE PRECISAO
0.163000 45.000000 527.000000 563.000000 55.000000 0.516514 0.450000 0.078671
0.164000 45.000000 523.000000 567.000000 55.000000 0.520183 0.450000 0.079225
0.165000 45.000000 521.000000 569.000000 55.000000 0.522018 0.450000 0.079505
0.166000 45.000000 518.000000 572.000000 55.000000 0.524771 0.450000 0.079929
0.167000 45.000000 518.000000 572.000000 55.000000 0.524771 0.450000 0.079929
0.168000 45.000000 512.000000 578.000000 55.000000 0.530275 0.450000 0.080790
0.169000 45.000000 511.000000 579.000000 55.000000 0.531193 0.450000 0.080935
0.170000 45.000000 508.000000 582.000000 55.000000 0.533945 0.450000 0.081374
0.171000 45.000000 504.000000 586.000000 55.000000 0.537615 0.450000 0.081967
0.172000 45.000000 496.000000 594.000000 55.000000 0.544954 0.450000 0.083179
0.173000 45.000000 490.000000 600.000000 55.000000 0.550459 0.450000 0.084112
0.174000 45.000000 487.000000 603.000000 55.000000 0.553211 0.450000 0.084586
0.175000 45.000000 484.000000 606.000000 55.000000 0.555963 0.450000 0.085066
0.176000 45.000000 481.000000 609.000000 55.000000 0.558716 0.450000 0.085551
0.177000 45.000000 480.000000 610.000000 55.000000 0.559633 0.450000 0.085714
0.178000 45.000000 472.000000 618.000000 55.000000 0.566972 0.450000 0.087041
0.179000 45.000000 467.000000 623.000000 55.000000 0.571560 0.450000 0.087891
0.180000 43.000000 464.000000 626.000000 57.000000 0.574312 0.430000 0.084813
0.181000 43.000000 464.000000 626.000000 57.000000 0.574312 0.430000 0.084813
0.182000 43.000000 460.000000 630.000000 57.000000 0.577982 0.430000 0.085487
0.183000 43.000000 451.000000 639.000000 57.000000 0.586239 0.430000 0.087045
0.184000 42.000000 449.000000 641.000000 58.000000 0.588073 0.420000 0.085540
0.185000 42.000000 444.000000 646.000000 58.000000 0.592661 0.420000 0.086420
0.186000 42.000000 439.000000 651.000000 58.000000 0.597248 0.420000 0.087318
0.187000 41.000000 436.000000 654.000000 59.000000 0.600000 0.410000 0.085954
0.188000 41.000000 433.000000 657.000000 59.000000 0.602752 0.410000 0.086498
0.189000 41.000000 431.000000 659.000000 59.000000 0.604587 0.410000 0.086864
0.190000 41.000000 427.000000 663.000000 59.000000 0.608257 0.410000 0.087607
0.191000 40.000000 423.000000 667.000000 60.000000 0.611927 0.400000 0.086393
0.192000 39.000000 419.000000 671.000000 61.000000 0.615596 0.390000 0.085153
0.193000 39.000000 415.000000 675.000000 61.000000 0.619266 0.390000 0.085903
0.194000 39.000000 410.000000 680.000000 61.000000 0.623853 0.390000 0.086860
0.195000 39.000000 406.000000 684.000000 61.000000 0.627523 0.390000 0.087640
0.196000 38.000000 401.000000 689.000000 62.000000 0.632110 0.380000 0.086560
0.197000 38.000000 397.000000 693.000000 62.000000 0.635780 0.380000 0.087356
0.198000 37.000000 394.000000 696.000000 63.000000 0.638532 0.370000 0.085847
0.199000 37.000000 391.000000 699.000000 63.000000 0.641284 0.370000 0.086449
0.200000 36.000000 389.000000 701.000000 64.000000 0.643119 0.360000 0.084706
0.201000 36.000000 389.000000 701.000000 64.000000 0.643119 0.360000 0.084706
0.202000 36.000000 384.000000 706.000000 64.000000 0.647706 0.360000 0.085714
0.203000 36.000000 383.000000 707.000000 64.000000 0.648624 0.360000 0.085919
0.204000 35.000000 381.000000 709.000000 65.000000 0.650459 0.350000 0.084135
0.205000 35.000000 375.000000 715.000000 65.000000 0.655963 0.350000 0.085366
0.206000 35.000000 375.000000 715.000000 65.000000 0.655963 0.350000 0.085366
0.207000 34.000000 371.000000 719.000000 66.000000 0.659633 0.340000 0.083951
0.208000 34.000000 367.000000 723.000000 66.000000 0.663303 0.340000 0.084788
0.209000 34.000000 361.000000 729.000000 66.000000 0.668807 0.340000 0.086076
0.210000 34.000000 358.000000 732.000000 66.000000 0.671560 0.340000 0.086735
0.211000 33.000000 357.000000 733.000000 67.000000 0.672477 0.330000 0.084615
0.212000 33.000000 356.000000 734.000000 67.000000 0.673394 0.330000 0.084833
0.213000 33.000000 354.000000 736.000000 67.000000 0.675229 0.330000 0.085271
0.214000 33.000000 353.000000 737.000000 67.000000 0.676147 0.330000 0.085492
0.215000 31.000000 349.000000 741.000000 69.000000 0.679817 0.310000 0.081579
0.216000 31.000000 348.000000 742.000000 69.000000 0.680734 0.310000 0.081794
0.217000 31.000000 347.000000 743.000000 69.000000 0.681651 0.310000 0.082011
0.218000 30.000000 343.000000 747.000000 70.000000 0.685321 0.300000 0.080429
0.219000 29.000000 339.000000 751.000000 71.000000 0.688991 0.290000 0.078804
0.220000 29.000000 335.000000 755.000000 71.000000 0.692661 0.290000 0.079670
0.221000 27.000000 332.000000 758.000000 73.000000 0.695413 0.270000 0.075209
0.222000 27.000000 332.000000 758.000000 73.000000 0.695413 0.270000 0.075209
0.223000 27.000000 325.000000 765.000000 73.000000 0.701835 0.270000 0.076705
0.224000 26.000000 323.000000 767.000000 74.000000 0.703670 0.260000 0.074499
0.225000 25.000000 320.000000 770.000000 75.000000 0.706422 0.250000 0.072464
0.226000 25.000000 317.000000 773.000000 75.000000 0.709174 0.250000 0.073099
0.227000 25.000000 314.000000 776.000000 75.000000 0.711927 0.250000 0.073746
0.228000 22.000000 311.000000 779.000000 78.000000 0.714679 0.220000 0.066066
0.229000 22.000000 304.000000 786.000000 78.000000 0.721101 0.220000 0.067485
0.230000 21.000000 302.000000 788.000000 79.000000 0.722936 0.210000 0.065015
0.231000 21.000000 301.000000 789.000000 79.000000 0.723853 0.210000 0.065217
0.232000 21.000000 299.000000 791.000000 79.000000 0.725688 0.210000 0.065625
0.233000 21.000000 293.000000 797.000000 79.000000 0.731193 0.210000 0.066879
0.234000 21.000000 290.000000 800.000000 79.000000 0.733945 0.210000 0.067524
0.235000 21.000000 288.000000 802.000000 79.000000 0.735780 0.210000 0.067961
0.236000 20.000000 288.000000 802.000000 80.000000 0.735780 0.200000 0.064935
0.237000 19.000000 286.000000 804.000000 81.000000 0.737615 0.190000 0.062295
0.238000 18.000000 283.000000 807.000000 82.000000 0.740367 0.180000 0.059801
0.239000 18.000000 283.000000 807.000000 82.000000 0.740367 0.180000 0.059801
0.240000 18.000000 277.000000 813.000000 82.000000 0.745872 0.180000 0.061017
0.241000 18.000000 275.000000 815.000000 82.000000 0.747706 0.180000 0.061433
0.242000 18.000000 270.000000 820.000000 82.000000 0.752294 0.180000 0.062500
0.243000 18.000000 267.000000 823.000000 82.000000 0.755046 0.180000 0.063158
0.244000 18.000000 264.000000 826.000000 82.000000 0.757798 0.180000 0.063830
0.245000 18.000000 262.000000 828.000000 82.000000 0.759633 0.180000 0.064286
0.246000 18.000000 259.000000 831.000000 82.000000 0.762385 0.180000 0.064982
0.247000 18.000000 256.000000 834.000000 82.000000 0.765138 0.180000 0.065693
0.248000 17.000000 253.000000 837.000000 83.000000 0.767890 0.170000 0.062963
0.249000 17.000000 253.000000 837.000000 83.000000 0.767890 0.170000 0.062963
0.250000 17.000000 252.000000 838.000000 83.000000 0.768807 0.170000 0.063197
0.251000 16.000000 248.000000 842.000000 84.000000 0.772477 0.160000 0.060606
0.252000 16.000000 248.000000 842.000000 84.000000 0.772477 0.160000 0.060606
0.253000 16.000000 246.000000 844.000000 84.000000 0.774312 0.160000 0.061069
0.254000 16.000000 242.000000 848.000000 84.000000 0.777982 0.160000 0.062016
0.255000 16.000000 237.000000 853.000000 84.000000 0.782569 0.160000 0.063241
0.256000 16.000000 237.000000 853.000000 84.000000 0.782569 0.160000 0.063241
0.257000 16.000000 236.000000 854.000000 84.000000 0.783486 0.160000 0.063492
0.258000 16.000000 230.000000 860.000000 84.000000 0.788991 0.160000 0.065041
0.259000 15.000000 225.000000 865.000000 85.000000 0.793578 0.150000 0.062500
0.260000 15.000000 222.000000 868.000000 85.000000 0.796330 0.150000 0.063291
0.261000 15.000000 220.000000 870.000000 85.000000 0.798165 0.150000 0.063830
0.262000 15.000000 219.000000 871.000000 85.000000 0.799083 0.150000 0.064103
0.263000 15.000000 215.000000 875.000000 85.000000 0.802752 0.150000 0.065217
0.264000 15.000000 214.000000 876.000000 85.000000 0.803670 0.150000 0.065502
0.265000 15.000000 210.000000 880.000000 85.000000 0.807339 0.150000 0.066667
0.266000 15.000000 209.000000 881.000000 85.000000 0.808257 0.150000 0.066964
0.267000 15.000000 208.000000 882.000000 85.000000 0.809174 0.150000 0.067265
0.268000 15.000000 208.000000 882.000000 85.000000 0.809174 0.150000 0.067265
0.269000 15.000000 207.000000 883.000000 85.000000 0.810092 0.150000 0.067568
0.270000 15.000000 206.000000 884.000000 85.000000 0.811009 0.150000 0.067873
0.271000 15.000000 204.000000 886.000000 85.000000 0.812844 0.150000 0.068493
0.272000 15.000000 201.000000 889.000000 85.000000 0.815596 0.150000 0.069444
0.273000 15.000000 195.000000 895.000000 85.000000 0.821101 0.150000 0.071429
0.274000 15.000000 193.000000 897.000000 85.000000 0.822936 0.150000 0.072115
0.275000 15.000000 191.000000 899.000000 85.000000 0.824771 0.150000 0.072816
0.276000 15.000000 188.000000 902.000000 85.000000 0.827523 0.150000 0.073892
0.277000 15.000000 186.000000 904.000000 85.000000 0.829358 0.150000 0.074627
0.278000 15.000000 184.000000 906.000000 85.000000 0.831193 0.150000 0.075377
0.279000 15.000000 181.000000 909.000000 85.000000 0.833945 0.150000 0.076531
0.280000 15.000000 181.000000 909.000000 85.000000 0.833945 0.150000 0.076531
0.281000 15.000000 180.000000 910.000000 85.000000 0.834862 0.150000 0.076923
0.282000 15.000000 176.000000 914.000000 85.000000 0.838532 0.150000 0.078534
0.283000 15.000000 172.000000 918.000000 85.000000 0.842202 0.150000 0.080214
0.284000 14.000000 168.000000 922.000000 86.000000 0.845872 0.140000 0.076923
0.285000 13.000000 167.000000 923.000000 87.000000 0.846789 0.130000 0.072222
0.286000 13.000000 167.000000 923.000000 87.000000 0.846789 0.130000 0.072222
0.287000 13.000000 166.000000 924.000000 87.000000 0.847706 0.130000 0.072626
0.288000 13.000000 163.000000 927.000000 87.000000 0.850459 0.130000 0.073864
0.289000 13.000000 162.000000 928.000000 87.000000 0.851376 0.130000 0.074286
0.290000 13.000000 161.000000 929.000000 87.000000 0.852294 0.130000 0.074713
0.291000 13.000000 161.000000 929.000000 87.000000 0.852294 0.130000 0.074713
0.292000 13.000000 160.000000 930.000000 87.000000 0.853211 0.130000 0.075145
0.293000 13.000000 156.000000 934.000000 87.000000 0.856881 0.130000 0.076923
0.294000 13.000000 154.000000 936.000000 87.000000 0.858716 0.130000 0.077844
0.295000 13.000000 151.000000 939.000000 87.000000 0.861468 0.130000 0.079268
0.296000 13.000000 150.000000 940.000000 87.000000 0.862385 0.130000 0.079755
0.297000 12.000000 149.000000 941.000000 88.000000 0.863303 0.120000 0.074534
0.298000 12.000000 145.000000 945.000000 88.000000 0.866972 0.120000 0.076433
0.299000 12.000000 145.000000 945.000000 88.000000 0.866972 0.120000 0.076433
0.300000 12.000000 144.000000 946.000000 88.000000 0.867890 0.120000 0.076923
0.301000 12.000000 144.000000 946.000000 88.000000 0.867890 0.120000 0.076923
0.302000 12.000000 144.000000 946.000000 88.000000 0.867890 0.120000 0.076923
0.303000 12.000000 141.000000 949.000000 88.000000 0.870642 0.120000 0.078431
0.304000 12.000000 140.000000 950.000000 88.000000 0.871560 0.120000 0.078947
0.305000 12.000000 137.000000 953.000000 88.000000 0.874312 0.120000 0.080537
0.306000 12.000000 133.000000 957.000000 88.000000 0.877982 0.120000 0.082759
0.307000 12.000000 131.000000 959.000000 88.000000 0.879817 0.120000 0.083916
0.308000 12.000000 125.000000 965.000000 88.000000 0.885321 0.120000 0.087591
0.309000 12.000000 124.000000 966.000000 88.000000 0.886239 0.120000 0.088235
0.310000 12.000000 124.000000 966.000000 88.000000 0.886239 0.120000 0.088235
0.311000 12.000000 124.000000 966.000000 88.000000 0.886239 0.120000 0.088235
0.312000 12.000000 123.000000 967.000000 88.000000 0.887156 0.120000 0.088889
0.313000 12.000000 122.000000 968.000000 88.000000 0.888073 0.120000 0.089552
0.314000 12.000000 121.000000 969.000000 88.000000 0.888991 0.120000 0.090226
0.315000 11.000000 121.000000 969.000000 89.000000 0.888991 0.110000 0.083333
0.316000 10.000000 117.000000 973.000000 90.000000 0.892661 0.100000 0.078740
0.317000 10.000000 116.000000 974.000000 90.000000 0.893578 0.100000 0.079365
0.318000 10.000000 115.000000 975.000000 90.000000 0.894495 0.100000 0.080000
0.319000 10.000000 115.000000 975.000000 90.000000 0.894495 0.100000 0.080000
0.320000 10.000000 114.000000 976.000000 90.000000 0.895413 0.100000 0.080645
0.321000 10.000000 114.000000 976.000000 90.000000 0.895413 0.100000 0.080645
0.322000 10.000000 113.000000 977.000000 90.000000 0.896330 0.100000 0.081301
0.323000 10.000000 111.000000 979.000000 90.000000 0.898165 0.100000 0.082645
0.324000 10.000000 110.000000 980.000000 90.000000 0.899083 0.100000 0.083333
0.325000 10.000000 109.000000 981.000000 90.000000 0.900000 0.100000 0.084034
0.326000 10.000000 108.000000 982.000000 90.000000 0.900917 0.100000 0.084746
0.327000 9.000000 105.000000 985.000000 91.000000 0.903670 0.090000 0.078947
0.328000 8.000000 103.000000 987.000000 92.000000 0.905505 0.080000 0.072072
0.329000 7.000000 103.000000 987.000000 93.000000 0.905505 0.070000 0.063636
0.330000 7.000000 103.000000 987.000000 93.000000 0.905505 0.070000 0.063636
0.331000 7.000000 101.000000 989.000000 93.000000 0.907339 0.070000 0.064815
0.332000 7.000000 101.000000 989.000000 93.000000 0.907339 0.070000 0.064815
0.333000 7.000000 100.000000 990.000000 93.000000 0.908257 0.070000 0.065421
0.334000 7.000000 98.000000 992.000000 93.000000 0.910092 0.070000 0.066667
0.335000 7.000000 97.000000 993.000000 93.000000 0.911009 0.070000 0.067308
0.336000 7.000000 94.000000 996.000000 93.000000 0.913761 0.070000 0.069307
0.337000 7.000000 94.000000 996.000000 93.000000 0.913761 0.070000 0.069307
0.338000 7.000000 93.000000 997.000000 93.000000 0.914679 0.070000 0.070000
0.339000 7.000000 92.000000 998.000000 93.000000 0.915596 0.070000 0.070707
0.340000 7.000000 89.000000 1001.000000 93.000000 0.918349 0.070000 0.072917
0.341000 7.000000 86.000000 1004.000000 93.000000 0.921101 0.070000 0.075269
0.342000 7.000000 86.000000 1004.000000 93.000000 0.921101 0.070000 0.075269
0.343000 7.000000 84.000000 1006.000000 93.000000 0.922936 0.070000 0.076923
0.344000 7.000000 83.000000 1007.000000 93.000000 0.923853 0.070000 0.077778
